,compartment,total_population,time_step,crime_type
259,prison,1,252,RAPE 1ST (PRIOR 9/1/78)|B
260,prison,863,252,RAPE 1ST|B
261,prison,150,252,RAPE 2ND|D
262,prison,75,252,RAPE 3RD|E
263,prison,9,252,RECKLESS ASSAULT OF A CHILD|D
264,prison,50,252,RECKLESS ENDANGERMENT 1ST|D
265,prison,1,252,RESIDENTIAL MORTGAGE FRAUD 2ND|C
266,prison,1,252,ROBBERY 1ST (HATE CRIME)|B
267,prison,1726,252,ROBBERY 1ST|B
268,prison,1,252,ROBBERY 2ND SUB 1 (HATE CRIME)|B
269,prison,319,252,ROBBERY 2ND SUB 1|C
270,prison,1,252,ROBBERY 2ND SUB 2 3 (HATE CRIME)|B
271,prison,428,252,ROBBERY 2ND SUB 2 3|C
272,prison,295,252,ROBBERY 3RD|D
273,prison,31,252,SEX OFF REG VIOL-1ST OFFENSE|E
274,prison,25,252,SEX OFF REG VIOL-2ND OFFENSE|D
275,prison,1,252,SEX TRAFFICKING (HATE CRIME)|B
276,prison,1,252,SEX TRAFFICKING OF A CHILD|B
277,prison,10,252,SEX TRAFFICKING SUB 5A  5B|B
278,prison,38,252,SEX TRAFFICKING|B
279,prison,271,252,SEXUAL ABUSE 1ST|D
280,prison,67,252,SODOMY 1ST|B
281,prison,2,252,SODOMY 2ND|D
282,prison,1,252,SODOMY 3RD|E
283,prison,3,252,STALKING 1ST SUB 1|D
284,prison,4,252,STRANGULATION 1ST|C
285,prison,60,252,STRANGULATION 2ND|D
286,prison,1,252,TAMPER WITH A WITNESS 1ST|B
287,prison,1,252,TAMPER WITH A WITNESS 2ND|D
288,prison,5,252,TAMPER WITH PHYS EVIDENCE|E
289,prison,1,252,UNAUTH USE OF MV 1ST|D
290,prison,1,252,UNAUTH USE OF MV 2ND|E
291,prison,3,252,UNLAW IMPRISONMENT 1ST|E
292,prison,11,252,UNLAW MANUFACTURE METH 2ND|C
293,prison,36,252,UNLAW MANUFACTURE METH 3RD|D
294,prison,3,252,UNLAW SURVEILLANCE 2ND SUB 1|E
295,prison,9,252,UNLAW SURVEILLANCE 2ND(2 3 4)|E
296,prison,33,252,USE OF CHILD IN A SEXUAL PERF|C
297,prison,10,252,VEHICULAR ASSAULT 1ST|D
298,prison,5,252,VEHICULAR ASSAULT 2ND|E
299,prison,27,252,VEHICULAR MANSLAUGHTER 1ST|C
300,prison,16,252,VEHICULAR MANSLAUGHTER 2ND|D
301,prison,1,252,WELFARE FRAUD 2ND|C
302,prison,1,252,WELFARE FRAUD 3RD|D
